City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Jiangyou,CN,73.06,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
547,Nantucket,US,70.0,clear sky,41.2835,-70.0995,Jared Coffin House
549,San Fernando,PH,80.15,moderate rain,15.0286,120.6898,Maharlika Hostel
554,Maragogi,BR,75.16,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
557,Harper,LR,77.97,light rain,4.375,-7.7169,Screensaver
565,Norsup,VU,79.38,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
566,Lockport,US,81.99,clear sky,41.5895,-88.0578,Big Run Wolf Ranch
571,Sanlucar La Mayor,ES,70.41,clear sky,37.3871,-6.2011,Exe Gran Hotel Solucar
572,Bam,IR,77.83,clear sky,29.106,58.357,Bam Tourist Hotel
574,Noumea,NC,78.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
579,Flinders,AU,84.2,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
581,Bandar,ID,75.4,overcast clouds,2.05,99.75,
583,Emerald,AU,80.91,clear sky,-23.5333,148.1667,The Irish Village
587,Abilene,US,82.62,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
589,Riyadh,SA,77.14,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
590,Boyle,US,73.06,clear sky,37.6334,-84.8666,Chaplin Hill Bed and Breakfast
591,Itamaraca,BR,77.05,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
592,Rio Claro,BR,71.31,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
597,Mapastepec,MX,75.78,overcast clouds,15.4333,-92.9,Hotel San Carlos
601,Balkanabat,TM,75.61,clear sky,39.5108,54.3671,Nebitchi Hotel
602,Ballina,AU,83.79,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
603,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
609,Surt,LY,79.7,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
610,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
611,Hecun,CN,80.19,light rain,36.5333,114.1111,Yijia Hotel
613,Beira,MZ,71.06,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
614,Claymont,US,70.92,clear sky,39.8007,-75.4596,Crowne Plaza Wilmington North
615,Veraval,IN,80.22,overcast clouds,20.9,70.3667,Lords Inn Somnath
618,Porto Seguro,BR,75.72,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
623,Grand-Lahou,CI,75.63,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
626,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
628,Hangu,CN,77.04,light rain,39.2489,117.7892,Chongli Xuexiang Family Express Inn
630,West Des Moines,US,80.64,few clouds,41.572,-93.7453,Sheraton West Des Moines Hotel
633,Manokwari,ID,83.1,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
636,Nouadhibou,MR,73.49,overcast clouds,20.931,-17.0347,El Medina
