City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Kaeo,NZ,2021-09-12 02:09:15,-35.1,173.7833,64.33,66,45,7.99,scattered clouds
216,Fukue,JP,2021-09-12 02:09:16,32.6881,128.8419,76.08,85,100,7.07,overcast clouds
217,Bathsheba,BB,2021-09-12 02:09:16,13.2167,-59.5167,83.01,87,20,10.36,few clouds
218,Tula,RU,2021-09-12 02:09:17,54.2044,37.6111,62.38,66,100,5.46,overcast clouds
219,San Patricio,US,2021-09-12 02:09:17,28.017,-97.5169,84.83,70,10,11.5,clear sky
220,Bakchar,RU,2021-09-12 02:09:18,57.0186,82.0711,44.04,92,85,5.88,overcast clouds
221,Kisoro,UG,2021-09-12 02:09:18,-1.2854,29.685,57.36,73,75,2.64,broken clouds
222,Flin Flon,CA,2021-09-12 02:09:19,54.7682,-101.865,43.77,68,12,5.59,few clouds
223,Pevek,RU,2021-09-12 02:09:19,69.7008,170.3133,30.15,76,100,16.15,overcast clouds
224,Huarmey,PE,2021-09-12 02:09:20,-10.0681,-78.1522,62.62,88,19,9.44,few clouds
225,Karratha,AU,2021-09-12 02:09:20,-20.7377,116.8463,81.52,29,0,10.54,clear sky
226,Autazes,BR,2021-09-12 02:09:21,-3.5797,-59.1306,75.54,88,76,0.89,broken clouds
227,Dudinka,RU,2021-09-12 02:09:21,69.4058,86.1778,44.08,95,100,7.02,overcast clouds
228,Pochutla,MX,2021-09-12 02:09:22,15.7432,-96.4661,76.82,95,100,1.21,overcast clouds
229,Kavieng,PG,2021-09-12 02:09:23,-2.5744,150.7967,84.51,67,49,5.7,scattered clouds
230,Minden,DE,2021-09-12 02:09:23,52.2833,8.9167,64.04,93,100,4.61,overcast clouds
231,Araouane,ML,2021-09-12 02:09:24,18.9048,-3.5265,92.53,25,6,8.43,clear sky
232,Maracaibo,VE,2021-09-12 02:08:58,10.6317,-71.6406,81.82,76,100,7.52,overcast clouds
233,Comodoro Rivadavia,AR,2021-09-12 02:09:24,-45.8667,-67.5,55.26,76,0,2.3,clear sky
234,Fairbanks,US,2021-09-12 02:07:05,64.8378,-147.7164,57.2,46,1,0.0,haze
235,Ostrovnoy,RU,2021-09-12 02:09:25,68.0531,39.5131,39.16,82,100,16.98,overcast clouds
236,Bilibino,RU,2021-09-12 02:04:30,68.0546,166.4372,28.49,71,55,3.44,broken clouds
237,Madisonville,US,2021-09-12 02:07:57,37.3281,-87.4989,73.4,78,0,8.61,clear sky
238,Narsaq,GL,2021-09-12 02:09:25,60.9167,-46.05,44.82,69,100,23.78,moderate rain
239,Aklavik,CA,2021-09-12 02:09:26,68.2191,-135.0107,51.64,73,100,1.61,overcast clouds
240,Adoni,IN,2021-09-12 02:09:26,15.6333,77.2833,74.32,85,98,14.14,overcast clouds
241,Kurilsk,RU,2021-09-12 02:09:27,45.2333,147.8833,61.29,84,100,9.53,moderate rain
242,Arinos,BR,2021-09-12 02:09:27,-15.9169,-46.1056,76.12,24,0,0.49,clear sky
243,Smithers,CA,2021-09-12 02:09:28,54.7804,-127.1743,57.49,59,46,5.44,scattered clouds
244,Cidreira,BR,2021-09-12 02:09:29,-30.1811,-50.2056,60.26,83,0,9.71,clear sky
245,Port Blair,IN,2021-09-12 02:09:29,11.6667,92.75,82.65,81,97,18.41,overcast clouds
246,Newala,TZ,2021-09-12 02:09:30,-10.9431,39.2787,59.94,94,7,0.29,clear sky
247,Cockburn Town,TC,2021-09-12 02:09:30,21.4612,-71.1419,83.71,76,72,21.65,broken clouds
248,Nemuro,JP,2021-09-12 02:09:31,43.3236,145.575,63.23,87,100,15.59,overcast clouds
249,Kjollefjord,NO,2021-09-12 02:09:32,70.9457,27.3465,40.93,78,94,5.61,overcast clouds
250,Lalmohan,BD,2021-09-12 02:09:32,22.3384,90.7419,83.88,76,37,22.03,scattered clouds
251,Upernavik,GL,2021-09-12 02:09:33,72.7868,-56.1549,26.53,59,0,16.89,clear sky
252,Altay,CN,2021-09-12 02:09:33,47.8667,88.1167,60.76,22,0,1.83,clear sky
253,Amalapuram,IN,2021-09-12 02:05:43,16.5833,82.0167,82.78,93,100,7.83,moderate rain
254,Bengkulu,ID,2021-09-12 02:09:33,-3.8004,102.2655,80.22,76,74,2.15,broken clouds
